name,mle,cilow,cihigh,areacutoff,nmutations,patient
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,1.83,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,1.8800000000000001,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,1.8800000000000001,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,1.8800000000000001,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,1.8800000000000001,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,1.8800000000000001,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,1.9300000000000002,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,1.9300000000000002,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,1.9300000000000002,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,1.9300000000000002,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,1.9300000000000002,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,1.9800000000000002,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,1.9800000000000002,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,1.9800000000000002,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,1.9800000000000002,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,1.9800000000000002,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,2.03,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,2.03,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,2.03,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,2.03,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,2.03,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,2.08,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,2.08,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,2.08,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,2.08,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,2.08,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,2.13,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,2.13,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,2.13,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,2.13,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,2.13,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,2.1799999999999997,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,2.1799999999999997,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,2.1799999999999997,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,2.1799999999999997,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,2.1799999999999997,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,2.23,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,2.23,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,2.23,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,2.23,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,2.23,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,2.28,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,2.28,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,2.28,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,2.28,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,2.28,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,2.33,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,2.33,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,2.33,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,2.33,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,2.33,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,2.38,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,2.38,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,2.38,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,2.38,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,2.38,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,2.43,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,2.43,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,2.43,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,2.43,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,2.43,0,PD13634
wmis,1.1290841566102556,0.9415723514431955,1.3539384740368534,2.48,0,PD13634
wnon,1.4453846380540858,1.000787169184179,2.0874935413348292,2.48,0,PD13634
wspl,1.9421784231138863,1.1796177906757501,3.1976942506507124,2.48,0,PD13634
wtru,1.5852403124342234,1.1605531686871204,2.1653353900273076,2.48,0,PD13634
wall,1.1679938919344375,0.9770319096983675,1.3962796077124215,2.48,0,PD13634
wmis,0.9360599205327682,0.5075688903159157,1.726284237559264,0.03,0,PD18003
wnon,1.2843155433835713,0.33804958052765166,4.879362407141682,0.03,0,PD18003
wspl,3.081383264277298,0.6024807636608888,15.759711170981909,0.03,0,PD18003
wtru,1.7092458751239477,0.5762136733383553,5.070205024296081,0.03,0,PD18003
wall,0.9936811016283251,0.545304507448412,1.810735319892242,0.03,0,PD18003
wmis,1.2556388438618113,1.008270021261214,1.5636970979683293,0.08,0,PD18003
wnon,2.204453312778001,1.4831672004834022,3.276511513087688,0.08,0,PD18003
wspl,2.5979829797501583,1.4894884678375766,4.531431903511402,0.08,0,PD18003
wtru,2.316458731225804,1.643117852930239,3.265731087945327,0.08,0,PD18003
wall,1.3482167474917588,1.0872906353078213,1.6717594534442521,0.08,0,PD18003
